,RAh,RAm,RAs,DECsign,DECd,DECm,DECs,Catalog,Type,RA/deg,DEC/deg
504,16.0,59.0,27.57,+,47.0,3.0,13.1,AT17,FRII,254.864875,47.05363888888888
2733,16.0,59.0,27.570119999994915,+,47.0,3.0,13.100040000010154,CRUMB,FRII,254.86487549999995,47.0536389
5372,16.0,59.0,28.831248000014966,+,47.0,2.0,53.93112000000031,FRGMRC,FRII,254.87013020000003,47.0483142
7057,16.0,59.0,27.60000000001156,+,47.0,3.0,14.400000000007369,RGD,FRII,254.865,47.054
9314,16.0,59.0,27.56400000000013,+,47.0,3.0,13.104000000005271,LRG,FRII,254.86485,47.05364
