,RAh,RAm,RAs,DECsign,DECd,DECm,DECs,Catalog,Type,RA/deg,DEC/deg
9361,10.0,36.0,5.767199999999093,+,0.0,6.0,6.80399999999997,MiraBest,FRI,159.02402999999998,0.10189
9362,10.0,39.0,9.34199999999933,-,0.0,47.0,15.828000000000202,MiraBest,FRII,159.78892499999998,-0.78773
9363,10.0,49.0,14.091600000002416,+,0.0,59.0,45.20400000000038,MiraBest,FRII,162.30871499999998,0.99589
9364,10.0,49.0,21.13679999999917,-,0.0,40.0,5.015999999999821,MiraBest,FRI,162.33807,-0.6680599999999999
9365,10.0,49.0,58.85399999999862,+,0.0,19.0,20.31599999999997,MiraBest,FRI,162.49522499999998,0.32231
9366,11.0,21.0,19.91520000000065,-,0.0,13.0,20.855999999999995,MiraBest,FRI,170.33298,-0.22246
9367,11.0,55.0,13.6523999999973,-,0.0,31.0,33.96000000000015,MiraBest,FRI,178.80688499999997,-0.5261000000000001
9368,11.0,59.0,41.62199999999871,-,0.0,31.0,53.903999999999925,MiraBest,FRII,179.92342499999998,-0.53164
9369,12.0,1.0,49.3032000000008,-,0.0,30.0,34.0199999999998,MiraBest,FRII,180.45543,-0.50945
9370,12.0,11.0,3.289199999996981,-,0.0,20.0,5.243999999999929,MiraBest,FRII,182.763705,-0.33479
9371,12.0,14.0,34.43280000000101,+,0.0,47.0,27.85200000000032,MiraBest,FRII,183.64347,0.79107
9372,12.0,19.0,25.48559999999952,+,0.0,40.0,52.03199999999981,MiraBest,FRII,184.85619,0.68112
9373,12.0,20.0,32.809199999999805,+,0.0,4.0,17.436000000000025,MiraBest,FRI,185.136705,0.07151
9374,12.0,32.0,46.006800000000254,-,0.0,55.0,24.7799999999998,MiraBest,FRII,188.191695,-0.92355
9375,12.0,44.0,46.208400000000296,-,1.0,1.0,9.40799999999987,MiraBest,FRII,191.192535,-1.01928
9376,12.0,46.0,34.489199999998874,+,0.0,7.0,43.896000000000015,MiraBest,FRI,191.643705,0.12886
9378,13.0,11.0,56.92560000000256,+,0.0,13.0,51.34800000000002,MiraBest,FRII,197.98719,0.23093
9379,13.0,19.0,16.586400000002612,-,0.0,55.0,1.2360000000001037,MiraBest,FRI,199.81911,-0.91701
