,RAh,RAm,RAs,DECsign,DECd,DECm,DECs,Catalog,Type,RA/deg,DEC/deg
0,13.0,4.0,9.2,+,18.0,55.0,49.0,AT17,BENT,196.03833333333333,18.93027777777778
1,12.0,17.0,40.0,+,3.0,39.0,58.0,AT17,BENT,184.41666666666663,3.666111111111111
2,15.0,44.0,9.8,+,17.0,55.0,6.0,AT17,BENT,236.04083333333327,17.918333333333333
3,7.0,47.0,57.7,+,37.0,26.0,38.0,AT17,BENT,116.99041666666665,37.443888888888885
4,15.0,6.0,44.2,+,34.0,27.0,59.0,AT17,BENT,226.68416666666664,34.46638888888889
5,15.0,11.0,30.7,+,32.0,28.0,21.0,AT17,BENT,227.87791666666664,32.472500000000004
6,11.0,40.0,19.6,+,53.0,50.0,35.0,AT17,BENT,175.08166666666665,53.84305555555556
7,7.0,41.0,43.0,+,17.0,40.0,56.0,AT17,BENT,115.42916666666666,17.682222222222222
8,8.0,58.0,45.1,+,17.0,10.0,2.0,AT17,BENT,134.68791666666667,17.16722222222222
9,12.0,46.0,19.2,+,26.0,26.0,35.0,AT17,BENT,191.58,26.44305555555556
10,11.0,43.0,40.1,+,7.0,29.0,57.0,AT17,BENT,175.91708333333332,7.499166666666666
11,9.0,48.0,41.7,+,42.0,18.0,17.0,AT17,BENT,147.17375,42.30472222222222
12,13.0,41.0,34.5,+,53.0,44.0,42.0,AT17,BENT,205.39375,53.745
13,0.0,41.0,52.1,+,0.0,28.0,37.0,AT17,BENT,10.467083333333331,0.4769444444444444
14,9.0,12.0,13.2,+,13.0,38.0,47.0,AT17,BENT,138.05499999999995,13.646388888888888
15,13.0,33.0,37.8,-,6.0,58.0,8.0,AT17,BENT,203.4075,-6.968888888888889
16,8.0,19.0,39.4,+,57.0,46.0,9.0,AT17,BENT,124.91416666666665,57.76916666666666
17,11.0,24.0,46.8,+,28.0,57.0,5.0,AT17,BENT,171.195,28.95138888888889
18,12.0,41.0,0.0,+,18.0,33.0,12.0,AT17,BENT,190.25,18.55333333333333
19,2.0,16.0,19.7,-,2.0,44.0,33.0,AT17,BENT,34.08208333333333,-2.7425
20,9.0,13.0,25.0,+,12.0,27.0,39.0,AT17,BENT,138.35416666666666,12.460833333333332
21,10.0,3.0,28.5,-,4.0,38.0,9.0,AT17,BENT,150.86874999999998,-4.635833333333333
22,9.0,18.0,59.3,+,31.0,51.0,40.0,AT17,BENT,139.74708333333334,31.861111111111114
23,14.0,50.0,58.9,+,31.0,21.0,10.0,AT17,BENT,222.74541666666664,31.35277777777777
24,12.0,58.0,19.6,+,44.0,31.0,57.0,AT17,BENT,194.58166666666665,44.5325
25,16.0,3.0,18.6,+,19.0,24.0,14.0,AT17,BENT,240.8275,19.403888888888886
26,7.0,43.0,10.8,+,52.0,3.0,37.0,AT17,BENT,115.795,52.06027777777778
27,9.0,11.0,18.8,+,7.0,32.0,39.0,AT17,BENT,137.82833333333332,7.544166666666666
28,13.0,43.0,36.7,+,29.0,28.0,46.0,AT17,BENT,205.90291666666664,29.479444444444443
29,0.0,3.0,30.7,+,0.0,27.0,56.0,AT17,BENT,0.8779166666666667,0.4655555555555555
30,8.0,39.0,31.0,+,59.0,49.0,56.0,AT17,BENT,129.87916666666666,59.83222222222223
31,8.0,3.0,37.3,+,10.0,51.0,16.0,AT17,BENT,120.90541666666668,10.854444444444445
32,13.0,8.0,17.7,+,17.0,51.0,33.0,AT17,BENT,197.07375,17.859166666666667
33,23.0,37.0,44.3,-,0.0,42.0,8.0,AT17,BENT,354.4345833333333,-0.7022222222222222
34,13.0,36.0,31.1,+,40.0,35.0,35.0,AT17,BENT,204.1295833333333,40.59305555555556
35,7.0,36.0,18.0,+,24.0,10.0,43.0,AT17,BENT,114.07499999999996,24.17861111111112
36,15.0,23.0,50.4,+,36.0,11.0,2.0,AT17,BENT,230.95999999999995,36.18388888888889
37,10.0,8.0,36.7,+,28.0,13.0,1.0,AT17,BENT,152.15291666666664,28.216944444444444
38,14.0,10.0,23.0,+,5.0,15.0,51.0,AT17,BENT,212.5958333333333,5.264166666666667
39,8.0,41.0,22.7,+,61.0,12.0,28.0,AT17,BENT,130.3445833333333,61.20777777777778
40,10.0,42.0,54.6,+,29.0,7.0,17.0,AT17,BENT,160.7275,29.12138888888889
41,14.0,13.0,30.4,+,48.0,44.0,27.0,AT17,BENT,213.37666666666664,48.740833333333335
42,13.0,18.0,12.0,+,51.0,26.0,17.0,AT17,BENT,199.55,51.43805555555555
43,9.0,12.0,43.7,-,4.0,40.0,38.0,AT17,BENT,138.18208333333328,-4.677222222222222
44,17.0,6.0,16.4,+,20.0,6.0,52.0,AT17,BENT,256.5683333333333,20.114444444444445
45,16.0,22.0,28.9,+,26.0,46.0,54.0,AT17,BENT,245.6204166666666,26.781666666666663
46,7.0,14.0,6.0,+,51.0,0.0,0.0,AT17,BENT,108.525,51.0
47,1.0,32.0,47.1,+,1.0,15.0,45.0,AT17,BENT,23.19625,1.2625
48,9.0,44.0,55.2,-,6.0,16.0,3.0,AT17,BENT,146.22999999999996,-6.2675
49,22.0,18.0,42.8,-,9.0,21.0,39.0,AT17,BENT,334.67833333333334,-9.360833333333334
50,10.0,22.0,16.4,-,4.0,20.0,53.0,AT17,BENT,155.56833333333333,-4.348055555555555
51,9.0,57.0,16.4,+,19.0,6.0,51.0,AT17,BENT,149.3183333333333,19.11416666666667
52,14.0,40.0,20.8,+,11.0,25.0,6.0,AT17,BENT,220.08666666666664,11.418333333333331
53,8.0,24.0,44.7,+,52.0,0.0,33.0,AT17,BENT,126.18625,52.009166666666665
54,9.0,35.0,24.9,+,23.0,55.0,5.0,AT17,BENT,143.85375,23.91805555555556
55,13.0,42.0,59.3,-,3.0,34.0,22.0,AT17,BENT,205.7470833333333,-3.5727777777777776
56,15.0,1.0,4.8,+,8.0,57.0,1.0,AT17,BENT,225.27,8.950277777777776
57,10.0,51.0,29.8,+,5.0,3.0,25.0,AT17,BENT,162.87416666666664,5.0569444444444445
58,17.0,12.0,25.4,+,29.0,10.0,20.0,AT17,BENT,258.1058333333333,29.172222222222224
59,7.0,29.0,30.2,+,59.0,49.0,52.0,AT17,BENT,112.37583333333332,59.83111111111111
60,12.0,6.0,19.8,+,3.0,47.0,0.0,AT17,BENT,181.58249999999995,3.783333333333333
61,9.0,17.0,7.8,+,55.0,9.0,3.0,AT17,BENT,139.2825,55.15083333333333
62,17.0,17.0,26.1,+,37.0,35.0,4.0,AT17,BENT,259.35875,37.58444444444444
63,15.0,21.0,26.8,+,31.0,57.0,31.0,AT17,BENT,230.36166666666665,31.95861111111111
64,13.0,17.0,38.3,+,19.0,10.0,16.0,AT17,BENT,199.40958333333333,19.17111111111112
65,22.0,39.0,2.4,-,9.0,32.0,35.0,AT17,BENT,339.75999999999993,-9.543055555555556
66,8.0,29.0,10.5,+,63.0,22.0,29.0,AT17,BENT,127.29374999999996,63.37472222222223
67,9.0,44.0,43.2,+,2.0,47.0,54.0,AT17,BENT,146.17999999999998,2.7983333333333333
68,12.0,8.0,13.7,+,44.0,3.0,44.0,AT17,BENT,182.0570833333333,44.06222222222222
69,14.0,6.0,17.9,+,27.0,56.0,15.0,AT17,BENT,211.5745833333333,27.9375
70,8.0,28.0,35.1,+,32.0,28.0,21.0,AT17,BENT,127.14625,32.472500000000004
71,14.0,35.0,5.9,-,4.0,9.0,24.0,AT17,BENT,218.7745833333333,-4.156666666666667
72,16.0,30.0,31.4,+,28.0,54.0,5.0,AT17,BENT,247.6308333333333,28.90138888888889
73,13.0,16.0,16.9,+,7.0,2.0,46.0,AT17,BENT,199.07041666666663,7.046111111111111
74,11.0,18.0,33.4,+,31.0,15.0,15.0,AT17,BENT,169.63916666666665,31.254166666666663
75,15.0,24.0,39.9,+,62.0,2.0,25.0,AT17,BENT,231.16625,62.040277777777774
76,14.0,50.0,22.4,+,27.0,28.0,20.0,AT17,BENT,222.5933333333333,27.47222222222222
77,8.0,41.0,32.7,-,2.0,3.0,18.0,AT17,BENT,130.38625,-2.055
78,13.0,8.0,33.4,+,53.0,11.0,18.0,AT17,BENT,197.13916666666665,53.18833333333333
79,7.0,14.0,24.6,+,40.0,15.0,59.0,AT17,BENT,108.6025,40.26638888888889
80,9.0,55.0,39.2,+,1.0,35.0,49.0,AT17,BENT,148.9133333333333,1.5969444444444445
81,16.0,54.0,22.4,+,48.0,8.0,46.0,AT17,BENT,253.5933333333333,48.14611111111111
82,16.0,4.0,56.7,+,23.0,55.0,54.0,AT17,BENT,241.23625,23.93166666666667
83,9.0,57.0,59.3,+,3.0,27.0,25.0,AT17,BENT,149.4970833333333,3.456944444444445
84,12.0,36.0,7.9,+,16.0,38.0,29.0,AT17,BENT,189.03291666666664,16.641388888888887
85,8.0,44.0,45.3,+,21.0,29.0,32.0,AT17,BENT,131.18874999999997,21.492222222222225
86,15.0,10.0,56.2,+,5.0,44.0,41.0,AT17,BENT,227.73416666666665,5.744722222222222
87,16.0,38.0,1.0,+,37.0,53.0,0.0,AT17,BENT,249.50416666666663,37.88333333333333
88,16.0,16.0,37.7,+,42.0,26.0,56.0,AT17,BENT,244.1570833333333,42.44888888888889
89,13.0,38.0,24.8,+,29.0,31.0,3.0,AT17,BENT,204.60333333333327,29.5175
90,13.0,39.0,4.1,+,16.0,20.0,52.0,AT17,BENT,204.7670833333333,16.347777777777775
91,12.0,25.0,24.5,+,37.0,37.0,19.0,AT17,BENT,186.3520833333333,37.621944444444445
92,10.0,12.0,20.0,+,36.0,39.0,27.0,AT17,BENT,153.08333333333331,36.6575
93,14.0,17.0,2.1,+,20.0,19.0,2.0,AT17,BENT,214.25875,20.31722222222222
94,8.0,27.0,18.2,+,46.0,35.0,10.0,AT17,BENT,126.8258333333333,46.58611111111112
95,9.0,1.0,24.9,+,2.0,59.0,16.0,AT17,BENT,135.35375,2.9877777777777776
96,10.0,14.0,42.1,+,0.0,38.0,1.0,AT17,BENT,153.67541666666662,0.6336111111111111
97,16.0,15.0,35.5,+,19.0,27.0,13.0,AT17,BENT,243.89791666666665,19.453611111111112
98,12.0,23.0,29.4,+,61.0,14.0,57.0,AT17,BENT,185.8725,61.24916666666667
99,16.0,20.0,7.3,+,42.0,28.0,45.0,AT17,BENT,245.0304166666666,42.47916666666667
100,0.0,56.0,2.6,-,1.0,20.0,4.0,AT17,BENT,14.01083333333333,-1.3344444444444443
101,12.0,4.0,30.2,+,37.0,57.0,34.0,AT17,BENT,181.12583333333333,37.95944444444445
102,14.0,50.0,1.6,+,14.0,47.0,48.0,AT17,BENT,222.50666666666663,14.796666666666669
103,16.0,56.0,18.5,+,43.0,51.0,57.0,AT17,BENT,254.0770833333333,43.865833333333335
104,13.0,53.0,39.8,+,9.0,42.0,13.0,AT17,BENT,208.4158333333333,9.70361111111111
105,16.0,8.0,3.7,+,22.0,11.0,4.0,AT17,BENT,242.01541666666665,22.184444444444445
106,12.0,6.0,47.7,+,31.0,52.0,32.0,AT17,BENT,181.69875,31.87555555555556
107,10.0,49.0,55.7,+,46.0,19.0,12.0,AT17,BENT,162.4820833333333,46.32
108,11.0,55.0,5.0,+,21.0,26.0,24.0,AT17,BENT,178.7708333333333,21.44
109,15.0,45.0,53.8,+,3.0,9.0,13.0,AT17,BENT,236.47416666666663,3.153611111111111
110,8.0,18.0,3.7,+,54.0,37.0,8.0,AT17,BENT,124.51541666666664,54.61888888888889
111,10.0,41.0,4.1,+,33.0,55.0,20.0,AT17,BENT,160.26708333333332,33.92222222222222
112,8.0,4.0,31.5,+,19.0,22.0,17.0,AT17,BENT,121.13124999999997,19.37138888888889
113,10.0,14.0,36.3,+,49.0,45.0,31.0,AT17,BENT,153.65124999999998,49.75861111111111
114,11.0,49.0,28.9,+,49.0,11.0,36.0,AT17,BENT,177.37041666666664,49.19333333333333
115,12.0,4.0,1.5,+,20.0,13.0,56.0,AT17,BENT,181.00625,20.23222222222222
116,13.0,9.0,4.5,+,10.0,29.0,34.0,AT17,BENT,197.26875,10.492777777777777
117,21.0,25.0,46.5,+,0.0,55.0,50.0,AT17,BENT,321.44375,0.9305555555555556
118,15.0,50.0,20.3,+,15.0,16.0,15.0,AT17,BENT,237.5845833333333,15.270833333333334
119,10.0,25.0,1.9,+,4.0,1.0,41.0,AT17,BENT,156.25791666666663,4.028055555555556
120,1.0,19.0,0.1,-,10.0,3.0,46.0,AT17,BENT,19.750416666666663,-10.06277777777778
121,12.0,42.0,6.0,+,32.0,32.0,29.0,AT17,BENT,190.525,32.54138888888889
122,8.0,7.0,20.7,+,14.0,16.0,20.0,AT17,BENT,121.83625,14.272222222222224
123,16.0,24.0,55.7,+,46.0,41.0,21.0,AT17,BENT,246.2320833333333,46.689166666666665
124,13.0,41.0,49.8,+,26.0,22.0,12.0,AT17,BENT,205.45749999999995,26.37
125,16.0,34.0,24.2,+,34.0,15.0,43.0,AT17,BENT,248.6008333333333,34.261944444444445
126,10.0,38.0,36.6,+,1.0,17.0,47.0,AT17,BENT,159.65249999999995,1.2963888888888888
127,12.0,30.0,5.9,-,7.0,52.0,55.0,AT17,BENT,187.5245833333333,-7.881944444444445
128,9.0,31.0,58.9,+,20.0,12.0,42.0,AT17,BENT,142.99541666666667,20.211666666666662
129,15.0,41.0,5.4,+,43.0,27.0,3.0,AT17,BENT,235.2725,43.450833333333335
130,9.0,50.0,7.0,+,43.0,44.0,0.0,AT17,BENT,147.52916666666664,43.73333333333333
131,12.0,22.0,23.5,-,4.0,49.0,59.0,AT17,BENT,185.59791666666663,-4.833055555555555
132,16.0,20.0,35.6,+,25.0,20.0,56.0,AT17,BENT,245.14833333333328,25.348888888888887
133,17.0,16.0,21.8,+,26.0,7.0,51.0,AT17,BENT,259.0908333333333,26.13083333333333
134,10.0,18.0,1.6,+,63.0,52.0,28.0,AT17,BENT,154.50666666666666,63.87444444444444
135,9.0,14.0,20.6,+,58.0,22.0,53.0,AT17,BENT,138.58583333333328,58.38138888888889
136,7.0,49.0,26.1,+,52.0,2.0,30.0,AT17,BENT,117.35875,52.04166666666666
137,8.0,16.0,59.5,+,57.0,16.0,27.0,AT17,BENT,124.24791666666668,57.274166666666666
138,10.0,55.0,1.0,+,52.0,1.0,56.0,AT17,BENT,163.75416666666663,52.032222222222224
139,9.0,47.0,15.5,+,52.0,50.0,55.0,AT17,BENT,146.81458333333333,52.84861111111111
140,11.0,38.0,28.5,+,15.0,54.0,50.0,AT17,BENT,174.61874999999998,15.91388888888889
141,15.0,36.0,16.2,+,14.0,20.0,45.0,AT17,BENT,234.0675,14.345833333333331
142,11.0,5.0,55.0,-,0.0,3.0,42.0,AT17,BENT,166.47916666666666,-0.0616666666666666
143,16.0,25.0,23.2,+,9.0,32.0,29.0,AT17,BENT,246.34666666666664,9.54138888888889
144,8.0,58.0,15.2,+,50.0,53.0,3.0,AT17,BENT,134.5633333333333,50.884166666666665
145,13.0,22.0,54.1,+,58.0,10.0,7.0,AT17,BENT,200.72541666666663,58.16861111111111
146,11.0,25.0,2.1,+,9.0,10.0,3.0,AT17,BENT,171.25874999999996,9.1675
147,15.0,53.0,45.5,+,15.0,30.0,12.0,AT17,BENT,238.4395833333333,15.503333333333334
148,17.0,4.0,51.5,+,24.0,52.0,30.0,AT17,BENT,256.2145833333333,24.875
149,10.0,52.0,29.1,+,11.0,45.0,36.0,AT17,BENT,163.12125,11.76
150,16.0,16.0,52.9,+,9.0,26.0,30.0,AT17,BENT,244.2204166666666,9.441666666666666
151,9.0,19.0,44.7,+,36.0,9.0,47.0,AT17,BENT,139.93624999999997,36.16305555555555
152,2.0,10.0,52.2,-,6.0,33.0,33.0,AT17,BENT,32.717499999999994,-6.559166666666666
153,10.0,9.0,43.4,+,3.0,37.0,21.0,AT17,BENT,152.4308333333333,3.6225
154,13.0,7.0,44.3,+,56.0,51.0,1.0,AT17,BENT,196.9345833333333,56.85027777777778
155,7.0,56.0,41.5,+,60.0,30.0,13.0,AT17,BENT,119.17291666666664,60.50361111111111
156,8.0,46.0,55.0,-,1.0,31.0,42.0,AT17,BENT,131.72916666666666,-1.528333333333333
157,12.0,49.0,18.2,+,50.0,4.0,43.0,AT17,BENT,192.3258333333333,50.07861111111112
158,12.0,50.0,3.5,-,1.0,32.0,22.0,AT17,BENT,192.5145833333333,-1.5394444444444444
159,9.0,25.0,39.0,+,36.0,27.0,5.0,AT17,BENT,141.4125,36.45138888888889
160,9.0,51.0,2.5,+,10.0,22.0,11.0,AT17,BENT,147.76041666666666,10.369722222222222
161,11.0,51.0,46.9,+,4.0,22.0,23.0,AT17,BENT,177.94541666666663,4.373055555555555
162,13.0,44.0,23.9,+,11.0,34.0,59.0,AT17,BENT,206.0995833333333,11.583055555555555
163,15.0,39.0,53.3,-,2.0,24.0,10.0,AT17,BENT,234.97208333333333,-2.4027777777777777
164,16.0,34.0,1.9,+,6.0,26.0,37.0,AT17,BENT,248.5079166666666,6.443611111111111
165,10.0,16.0,1.8,+,24.0,0.0,9.0,AT17,BENT,154.0075,24.0025
166,9.0,12.0,4.2,+,9.0,44.0,5.0,AT17,BENT,138.01749999999996,9.73472222222222
167,11.0,19.0,33.1,+,63.0,17.0,18.0,AT17,BENT,169.88791666666663,63.28833333333333
168,14.0,29.0,32.6,+,54.0,43.0,31.0,AT17,BENT,217.3858333333333,54.72527777777778
169,12.0,49.0,42.2,+,30.0,38.0,38.0,AT17,BENT,192.4258333333333,30.64388888888889
170,11.0,29.0,24.0,+,21.0,1.0,13.0,AT17,BENT,172.34999999999997,21.02027777777778
171,15.0,45.0,49.4,-,2.0,49.0,54.0,AT17,BENT,236.4558333333333,-2.8316666666666666
172,17.0,10.0,41.4,+,42.0,39.0,44.0,AT17,BENT,257.6725,42.66222222222222
173,11.0,19.0,31.3,+,2.0,7.0,29.0,AT17,BENT,169.88041666666663,2.124722222222222
174,8.0,3.0,17.0,+,24.0,40.0,59.0,AT17,BENT,120.82083333333333,24.68305555555556
175,17.0,21.0,51.6,+,47.0,25.0,36.0,AT17,BENT,260.465,47.42666666666666
176,23.0,51.0,54.5,+,0.0,33.0,10.0,AT17,BENT,357.9770833333333,0.5527777777777778
177,10.0,20.0,0.7,+,17.0,14.0,52.0,AT17,BENT,155.00291666666666,17.247777777777777
178,12.0,57.0,45.6,+,48.0,55.0,8.0,AT17,BENT,194.44,48.91888888888889
179,2.0,12.0,34.9,-,8.0,20.0,42.0,AT17,BENT,33.14541666666666,-8.345
180,9.0,56.0,3.5,+,23.0,38.0,10.0,AT17,BENT,149.01458333333332,23.63611111111111
181,8.0,50.0,52.9,+,13.0,48.0,57.0,AT17,BENT,132.7204166666667,13.815833333333334
182,9.0,47.0,2.1,+,34.0,3.0,3.0,AT17,BENT,146.75875,34.05083333333333
183,2.0,46.0,12.8,-,8.0,47.0,35.0,AT17,BENT,41.55333333333333,-8.793055555555556
184,9.0,27.0,3.7,+,54.0,23.0,43.0,AT17,BENT,141.76541666666662,54.39527777777778
185,15.0,54.0,0.9,-,2.0,20.0,45.0,AT17,BENT,238.50375,-2.3458333333333337
186,7.0,38.0,49.8,+,41.0,59.0,7.0,AT17,BENT,114.70749999999998,41.98527777777778
187,17.0,23.0,20.6,+,35.0,58.0,9.0,AT17,BENT,260.8358333333333,35.969166666666666
188,7.0,24.0,31.5,+,50.0,10.0,52.0,AT17,BENT,111.13125,50.18111111111111
189,22.0,54.0,4.4,-,0.0,10.0,37.0,AT17,BENT,343.51833333333326,-0.1769444444444444
190,9.0,33.0,49.9,+,45.0,19.0,56.0,AT17,BENT,143.45791666666668,45.33222222222223
191,10.0,35.0,2.6,+,42.0,55.0,48.0,AT17,BENT,158.76083333333332,42.93
192,15.0,19.0,11.9,+,36.0,23.0,15.0,AT17,BENT,229.7995833333333,36.3875
193,15.0,1.0,14.7,+,51.0,48.0,10.0,AT17,BENT,225.31125,51.80277777777778
194,16.0,14.0,12.8,+,62.0,15.0,28.0,AT17,BENT,243.55333333333328,62.257777777777775
195,11.0,41.0,11.2,+,5.0,43.0,59.0,AT17,BENT,175.29666666666665,5.733055555555556
196,11.0,20.0,38.5,+,29.0,12.0,34.0,AT17,BENT,170.16041666666666,29.209444444444443
197,7.0,27.0,25.1,+,31.0,9.0,34.0,AT17,BENT,111.85458333333332,31.159444444444443
198,10.0,0.0,44.5,+,20.0,47.0,26.0,AT17,BENT,150.18541666666667,20.79055555555556
199,10.0,47.0,42.7,+,43.0,46.0,51.0,AT17,BENT,161.92791666666665,43.78083333333333
200,12.0,0.0,45.6,+,29.0,42.0,49.0,AT17,BENT,180.19,29.71361111111111
201,9.0,56.0,41.7,+,18.0,35.0,48.0,AT17,BENT,149.17375,18.596666666666664
202,10.0,39.0,38.8,+,55.0,37.0,46.0,AT17,BENT,159.91166666666663,55.629444444444445
203,14.0,33.0,48.8,+,42.0,52.0,57.0,AT17,BENT,218.4533333333333,42.8825
204,9.0,43.0,32.4,-,5.0,7.0,36.0,AT17,BENT,145.885,-5.126666666666666
205,13.0,13.0,36.8,+,17.0,45.0,28.0,AT17,BENT,198.4033333333333,17.75777777777778
206,10.0,39.0,46.8,-,6.0,45.0,21.0,AT17,BENT,159.945,-6.755833333333333
207,12.0,2.0,26.7,+,12.0,16.0,53.0,AT17,BENT,180.61125,12.28138888888889
208,10.0,49.0,14.0,+,0.0,59.0,45.0,AT17,BENT,162.3083333333333,0.9958333333333332
209,1.0,14.0,25.5,+,0.0,29.0,32.0,AT17,BENT,18.60625,0.4922222222222222
210,9.0,3.0,5.5,+,45.0,9.0,59.0,AT17,BENT,135.77291666666665,45.16638888888889
211,13.0,10.0,36.7,+,24.0,18.0,44.0,AT17,BENT,197.65291666666664,24.31222222222222
212,14.0,14.0,56.2,+,17.0,46.0,17.0,AT17,BENT,213.73416666666665,17.77138888888889
213,8.0,51.0,5.3,+,8.0,51.0,7.0,AT17,BENT,132.7720833333333,8.851944444444444
214,9.0,30.0,48.6,+,64.0,22.0,37.0,AT17,BENT,142.7025,64.37694444444443
215,8.0,49.0,34.4,+,28.0,21.0,50.0,AT17,BENT,132.39333333333332,28.36388888888889
216,21.0,57.0,1.5,-,7.0,50.0,26.0,AT17,BENT,329.25625,-7.8405555555555555
217,9.0,16.0,39.5,+,5.0,25.0,52.0,AT17,BENT,139.16458333333333,5.431111111111111
218,11.0,55.0,13.4,-,0.0,31.0,37.0,AT17,BENT,178.8058333333333,-0.5269444444444445
219,1.0,31.0,34.5,+,0.0,33.0,41.0,AT17,BENT,22.89375,0.5613888888888889
220,11.0,31.0,22.8,+,21.0,26.0,0.0,AT17,BENT,172.845,21.433333333333334
221,16.0,39.0,32.7,+,53.0,46.0,42.0,AT17,BENT,249.88625,53.77833333333333
222,12.0,56.0,59.2,+,6.0,18.0,58.0,AT17,BENT,194.24666666666664,6.316111111111111
223,13.0,31.0,24.4,-,5.0,44.0,29.0,AT17,BENT,202.85166666666663,-5.741388888888889
224,15.0,36.0,29.7,-,2.0,5.0,20.0,AT17,BENT,234.12375,-2.088888888888889
225,12.0,47.0,24.2,+,9.0,30.0,59.0,AT17,BENT,191.85083333333333,9.516388888888889
226,13.0,44.0,4.9,+,24.0,25.0,33.0,AT17,BENT,206.02041666666665,24.425833333333333
227,13.0,58.0,56.3,+,53.0,28.0,48.0,AT17,BENT,209.7345833333333,53.48
228,15.0,2.0,28.9,+,52.0,44.0,20.0,AT17,BENT,225.62041666666664,52.73888888888889
229,12.0,50.0,45.7,+,34.0,40.0,27.0,AT17,BENT,192.69041666666664,34.674166666666665
230,13.0,41.0,17.7,+,54.0,6.0,9.0,AT17,BENT,205.32375,54.1025
231,15.0,35.0,22.1,+,34.0,22.0,47.0,AT17,BENT,233.8420833333333,34.37972222222222
232,11.0,54.0,24.4,+,2.0,6.0,51.0,AT17,BENT,178.60166666666666,2.1141666666666667
233,10.0,46.0,46.7,+,12.0,10.0,38.0,AT17,BENT,161.69458333333333,12.177222222222222
234,8.0,18.0,1.3,+,49.0,56.0,10.0,AT17,BENT,124.50541666666666,49.93611111111111
235,14.0,21.0,41.0,-,7.0,43.0,34.0,AT17,BENT,215.4208333333333,-7.726111111111111
236,7.0,35.0,39.8,+,25.0,10.0,20.0,AT17,BENT,113.91583333333332,25.172222222222224
237,12.0,58.0,22.9,+,11.0,10.0,38.0,AT17,BENT,194.5954166666667,11.177222222222222
238,9.0,57.0,59.7,+,19.0,16.0,7.0,AT17,BENT,149.49874999999997,19.26861111111111
239,15.0,44.0,13.2,+,28.0,38.0,39.0,AT17,BENT,236.05499999999995,28.644166666666667
240,7.0,8.0,25.8,+,54.0,8.0,38.0,AT17,BENT,107.1075,54.14388888888889
241,23.0,12.0,55.0,-,0.0,15.0,3.0,AT17,BENT,348.22916666666663,-0.2508333333333333
242,10.0,51.0,38.3,+,58.0,7.0,54.0,AT17,BENT,162.90958333333333,58.13166666666667
243,15.0,39.0,28.0,+,30.0,44.0,25.0,AT17,BENT,234.86666666666665,30.740277777777777
244,9.0,12.0,35.1,+,15.0,59.0,58.0,AT17,BENT,138.14624999999998,15.999444444444444
245,9.0,57.0,0.6,-,6.0,44.0,23.0,AT17,BENT,149.25249999999997,-6.739722222222222
246,2.0,45.0,58.4,-,6.0,48.0,59.0,AT17,BENT,41.49333333333333,-6.816388888888889
247,8.0,15.0,44.2,+,37.0,10.0,17.0,AT17,BENT,123.93416666666664,37.171388888888885
248,15.0,1.0,14.6,+,9.0,59.0,19.0,AT17,BENT,225.3108333333333,9.98861111111111
249,10.0,45.0,1.7,+,12.0,58.0,0.0,AT17,BENT,161.25708333333333,12.966666666666669
250,16.0,2.0,45.5,+,9.0,55.0,49.0,AT17,BENT,240.68958333333336,9.930277777777777
251,7.0,43.0,5.9,+,27.0,10.0,12.0,AT17,BENT,115.77458333333333,27.17
252,23.0,37.0,31.9,+,0.0,43.0,40.0,AT17,BENT,354.38291666666663,0.7277777777777777
253,16.0,40.0,53.7,+,32.0,47.0,26.0,AT17,BENT,250.22375,32.79055555555556
254,12.0,1.0,26.0,-,7.0,3.0,14.0,AT17,BENT,180.3583333333333,-7.053888888888888
723,0.0,37.0,4.108800000000059,-,1.0,9.0,8.388000000000275,CRUMB,OTHER,9.267119999999998,-1.15233
731,0.0,44.0,58.71984000000012,+,10.0,26.0,53.699999999999335,CRUMB,OTHER,11.244666,10.44825
758,2.0,1.0,23.72988000000064,+,8.0,33.0,14.600159999999534,CRUMB,OTHER,30.3488745,8.5540556
773,2.0,57.0,10.959840000000156,+,6.0,37.0,59.30003999999883,CRUMB,OTHER,44.295666,6.6331389000000005
778,7.0,15.0,23.95008000000125,+,55.0,28.0,47.10000000001003,CRUMB,OTHER,108.849792,55.47975
780,7.0,24.0,6.789959999998487,+,38.0,3.0,48.59999999999161,CRUMB,OTHER,111.02829149999998,38.0635
789,7.0,34.0,23.760119999998462,+,35.0,6.0,42.69995999999537,CRUMB,OTHER,113.59900049999996,35.1118611
796,7.0,39.0,45.33012000000042,+,24.0,51.0,34.20000000000215,CRUMB,OTHER,114.9388755,24.8595
818,7.0,56.0,27.359880000000487,+,39.0,1.0,26.00004000001036,CRUMB,OTHER,119.1139995,39.0238889
821,7.0,58.0,26.24087999999915,+,10.0,20.0,18.63599999999792,CRUMB,OTHER,119.60933699999998,10.33851
854,8.0,13.0,28.899840000002257,+,5.0,53.0,14.300160000001084,CRUMB,OTHER,123.370416,5.8873056
859,8.0,14.0,43.890360000000186,+,12.0,58.0,17.327999999998838,CRUMB,OTHER,123.6828765,12.97148
867,8.0,16.0,53.73767999999842,+,39.0,11.0,16.043999999998846,CRUMB,OTHER,124.22390699999998,39.18779
888,8.0,22.0,34.06008000000284,+,53.0,11.0,18.700080000010075,CRUMB,OTHER,125.641917,53.1885278
925,8.0,33.0,45.43991999999946,+,10.0,27.0,53.20008000000087,CRUMB,OTHER,128.43933299999998,10.4647778
