,Source
653,9883
654,1695
655,9887
656,9891
657,9892
658,9893
659,9903
660,9914
661,9915
662,9916
663,18108
664,9918
665,9923
666,9925
667,9926
668,9927
669,9929
670,9932
671,9934
672,9935
673,9939
674,9941
675,9942
676,9943
677,9947
678,9948
679,9949
680,9950
681,9951
682,9952
683,9956
684,9957
685,14055
686,9963
687,9966
688,9967
689,9978
690,9982
691,9983
692,9984
693,1794
694,9989
695,9990
696,9991
697,1800
698,9993
699,9994
700,9995
701,9998
702,9999
703,1812
704,10004
705,10007
706,1818
707,10010
708,10013
709,1826
710,14119
711,10030
712,1846
713,14141
714,1869
715,10063
716,10068
717,1881
718,10073
719,10080
720,10082
721,10084
722,10085
723,10086
724,1908
725,1918
726,18327
727,14231
728,1949
729,1960
730,1974
731,10171
732,10174
733,1983
734,10175
735,1992
736,2003
737,2010
738,6107
739,6106
740,6111
741,6112
742,6121
743,10223
744,10227
745,10228
746,6132
747,10237
748,14340
749,14343
750,6155
751,10253
752,10254
753,10258
754,6163
755,10259
756,10261
757,6166
758,10263
759,10262
760,10267
761,10270
762,10272
763,10273
764,10274
765,10277
766,6181
767,6183
768,6182
769,10278
770,6188
771,10284
772,6190
773,10287
774,10286
775,6195
776,10292
777,6197
778,10293
779,10295
780,6200
781,6201
782,6202
783,6203
784,10299
785,10298
786,6206
787,6208
788,10306
789,10307
790,2116
791,6213
792,10310
793,10308
794,6216
795,6217
796,6218
797,10314
798,10318
799,6224
800,6228
801,6231
802,10327
803,10331
804,2140
805,6237
806,10332
807,6239
808,6241
809,2146
810,10338
811,6244
812,6245
813,6246
814,6242
815,6248
816,10342
817,10343
818,6251
819,6253
820,10349
821,10350
822,10353
823,6258
824,10356
825,6262
826,6265
827,6266
828,10365
829,6271
830,6273
831,6276
832,6277
833,6278
834,6283
835,6284
836,6286
837,14481
838,6293
839,6294
840,6295
841,6300
842,6302
843,6304
844,6305
845,6308
846,6315
847,6316
848,10419
849,10420
850,6325
851,6327
852,2232
853,6333
854,6337
855,6338
856,10435
857,14533
858,6344
859,14537
860,6355
861,6356
862,6360
863,6365
864,6367
865,6369
866,10466
867,10467
868,6372
869,6373
870,10470
871,6375
872,2280
873,6382
874,6383
875,6393
876,6396
877,6400
878,6404
879,6405
880,6412
881,6415
882,6420
883,6421
884,6422
885,14617
886,6428
887,6429
888,6431
889,6432
890,6433
891,6438
892,14633
893,2348
894,6444
895,2350
896,6445
897,6447
898,6450
899,6453
900,6465
901,6467
902,6468
903,2375
904,6472
905,6475
906,6477
907,6478
908,6482
909,6489
910,2394
911,6491
912,6501
913,6506
914,6509
915,6510
916,10607
917,6513
918,6514
919,6515
920,6516
921,6517
922,6518
923,6519
924,6521
925,6522
926,10618
927,6524
928,10620
929,6526
930,10622
931,6528
932,10623
933,6530
934,6533
935,2437
936,6535
937,6537
938,2454
939,2456
940,6555
941,6557
942,6558
943,6560
944,2466
945,6562
946,2469
947,6574
948,2480
949,2481
950,6580
951,10676
952,6583
953,2490
954,10683
955,6589
956,6593
957,2498
958,6596
959,6597
960,6605
961,2510
962,6607
963,6608
964,6609
965,6610
966,6616
967,6618
968,6619
969,6622
970,6623
971,6625
972,6627
973,6629
974,8645
975,6633
976,6636
977,8646
978,9460
979,6640
980,6649
981,6653
982,6655
983,6658
984,2565
985,6661
986,6663
987,6665
988,6670
989,6676
990,6678
991,2594
992,6697
993,14892
994,6701
995,6700
996,6702
997,6713
998,6714
999,6716
1000,6719
1001,6721
1002,14914
1003,6725
1004,6731
1005,2635
1006,6733
1007,6735
1008,2640
1009,6738
1010,6740
1011,6741
1012,6743
1013,6748
1014,6753
1015,2659
1016,6759
1017,6762
1018,6766
1019,6768
1020,6769
1021,6770
1022,6774
1023,6775
1024,6777
1025,6780
1026,2685
1027,6782
1028,6785
1029,6789
1030,6790
1031,6791
1032,6798
1033,6799
1034,2705
1035,6804
1036,6805
1037,6806
1038,2711
1039,6810
1040,6813
1041,6814
1042,6815
1043,2720
1044,6818
1045,2722
1046,6820
1047,6823
1048,6824
1049,6829
1050,6831
1051,6833
1052,2739
1053,2741
1054,6839
1055,6840
1056,6841
1057,2748
1058,6846
1059,6847
1060,6855
1061,6859
1062,6865
1063,6870
1064,6871
1065,6875
1066,6882
1067,6885
1068,6886
1069,15080
1070,6891
1071,6893
1072,6903
1073,6907
1074,6913
1075,6914
1076,2817
1077,2820
1078,6920
1079,6922
1080,6924
1081,2829
1082,2830
1083,2831
1084,6926
1085,15117
1086,6925
1087,6929
1088,2836
1089,6932
1090,6934
1091,6935
1092,2840
1093,2841
1094,6940
1095,2845
1096,2846
1097,6945
1098,6946
1099,6948
1100,6949
1101,6950
1102,15141
1103,6953
1104,6955
1105,6959
1106,2865
1107,6965
1108,6968
1109,2872
1110,6969
1111,6971
1112,2876
1113,6973
1114,2879
1115,2883
1116,2884
1117,2885
1118,6983
1119,6984
1120,6990
1121,6998
1122,7001
1123,7006
1124,2914
1125,2915
1126,15204
1127,7012
1128,2918
1129,7015
1130,7017
1131,2923
1132,7021
1133,2929
1134,7029
1135,7033
1136,7034
1137,7039
1138,7043
1139,2949
1140,7047
1141,7055
1142,15249
1143,7059
1144,2969
1145,2970
1146,7067
1147,7073
1148,2982
1149,2989
1150,7086
1151,2998
1152,7095
1153,7094
1154,7097
1155,15289
1156,3004
1157,7103
1158,7104
1159,3011
1160,7108
1161,7115
1162,7118
1163,7119
1164,7120
1165,3030
1166,7127
1167,7131
1168,7133
1169,7141
1170,7143
1171,3047
1172,7145
1173,15336
1174,3051
1175,7148
1176,7149
1177,7150
1178,3060
1179,7156
1180,3062
1181,3066
1182,7163
1183,3074
1184,3076
1185,7175
1186,7179
1187,3085
1188,7182
1189,3090
1190,7188
1191,3093
1192,7196
1193,7200
1194,7202
1195,7207
1196,3112
1197,3115
1198,7218
1199,3123
1200,7223
1201,7231
1202,3136
1203,7233
1204,7245
1205,3151
1206,3153
1207,3160
1208,7257
1209,3163
1210,7261
1211,7264
1212,3170
1213,7267
1214,7271
1215,7273
1216,3181
1217,7277
1218,3187
1219,7285
1220,7286
1221,7296
1222,7297
1223,3204
1224,7300
1225,3207
1226,3208
1227,15497
1228,7305
1229,7311
1230,7317
1231,7318
1232,7325
1233,7326
1234,7327
1235,7329
1236,7334
1237,7336
1238,7339
1239,7341
1240,7342
1241,7343
1242,7345
1243,7348
1244,7350
1245,7351
1246,7353
1247,7354
1248,7359
1249,3264
1250,7364
1251,3286
1252,3288
1253,7387
1254,7389
1255,3295
1256,15591
1257,7402
1258,7406
1259,7410
1260,7416
1261,7420
1262,7422
1263,7429
1264,7432
1265,7433
1266,7434
1267,7435
1268,7443
1269,7446
1270,7447
1271,7451
1272,7457
1273,3361
1274,7461
1275,7463
1276,3372
1277,7469
1278,7476
1279,3383
1280,7484
1281,7486
1282,7492
1283,7494
1284,15687
1285,7500
1286,3405
1287,7503
1288,7508
1289,7515
1290,7517
1291,7518
1292,7519
1293,7525
1294,7527
1295,7528
1296,7532
1297,7536
1298,7540
1299,7541
1300,7544
1301,7548
1302,7549
1303,7551
1304,7554
1305,7560
1306,7568
1307,7575
1308,7578
1309,7580
1310,7585
1311,7588
1312,7591
1313,7594
1314,7596
1315,7607
1316,7609
1317,15805
1318,7617
1319,7622
1320,7623
1321,7626
1322,7628
1323,7629
1324,7635
1325,7636
1326,7637
1327,7642
1328,7643
1329,7644
1330,7647
1331,7654
1332,7656
1333,7657
1334,7667
1335,7669
1336,7671
1337,7673
1338,7676
1339,7679
1340,7681
1341,7683
1342,7687
1343,7689
1344,7690
1345,7696
1346,7698
1347,7701
1348,7702
1349,7707
1350,7709
1351,7711
1352,7712
1353,15907
1354,7720
1355,7722
1356,7723
1357,7725
1358,7731
1359,7735
1360,7739
1361,7740
1362,7741
1363,7742
1364,7743
1365,7744
1366,7745
1367,7746
1368,7749
1369,7750
1370,7756
1371,7758
1372,7760
1373,7766
1374,15967
1375,7781
1376,3686
1377,3691
1378,3693
1379,7790
1380,3694
1381,7791
1382,7799
1383,3706
1384,3707
1385,3708
1386,3709
1387,7806
1388,7807
1389,7811
1390,3715
1391,3716
1392,7814
1393,3718
1394,7820
1395,3727
1396,7825
1397,7828
1398,7829
1399,3735
1400,16025
1401,7834
1402,3739
1403,7836
1404,3740
1405,7839
1406,3747
1407,7846
1408,7847
1409,7849
1410,7850
1411,7851
1412,7854
1413,3762
1414,7859
1415,7862
1416,3766
1417,7869
1418,3776
1419,7875
1420,16075
1421,7885
1422,7894
1423,7898
1424,7903
1425,16151
1426,3876
1427,3878
1428,7975
1429,7979
1430,7987
1431,7988
1432,7989
1433,3894
1434,7994
1435,7995
1436,3907
1437,8004
1438,8005
1439,8008
1440,8016
1441,8017
1442,8019
1443,8020
1444,8024
1445,8027
1446,8033
1447,8035
1448,8036
1449,8042
1450,8043
1451,8044
1452,8046
1453,8047
1454,3955
1455,8052
1456,8053
1457,8054
1458,8057
1459,8059
1460,8064
1461,3972
1462,8070
1463,8071
1464,8074
1465,8082
1466,8085
1467,8087
1468,8094
1469,8096
1470,16291
1471,8100
1472,8105
1473,8106
1474,8107
1475,8111
1476,8115
1477,8129
1478,8132
1479,8134
1480,8136
1481,8142
1482,8144
1483,8146
1484,8150
1485,8154
1486,16347
1487,8161
1488,8162
1489,8171
1490,8176
1491,4090
1492,8187
