Distance,Source1,Source2,Status
0.0050690147169644,9787,12617,same
0.0054957369119281,1601,4799,same
0.0054959296116451,543,4799,same
0.0055197865837604,4799,8463,same
0.0056634440485869,4799,7021,same
0.0058079248632853,472,4843,same
0.0058080316265501,1708,4843,same
0.0058186054440824,4843,8539,same
0.0058306535866919,4843,7903,same
0.0060053448204074,16626,16628,same
0.0060817450118034,6865,15805,same
0.0064159206234044,9758,14617,same
0.0064321544151701,7741,14617,same
0.0064359136444307,8622,15805,same
0.0064410506301898,5532,15805,same
0.0064414339906142,1869,15805,same
0.006463172236683,4901,15805,same
0.0065322655461416,1519,4765,same
0.007139625652841,4493,7461,same
0.0073984496812451,438,4493,same
0.0073985364491197,851,4493,same
0.0074071743319723,4493,8017,same
0.0077674048965371,4784,7334,same
0.0077872128270329,7490,9626,same
0.0078004418762894,451,5661,same
0.0078046485886855,451,8162,same
0.0078090277747619,5661,8161,same
0.0078135661935883,8161,8162,same
0.007815681402078,451,9851,same
0.0078242463773488,8161,9851,same
0.0079071801324358,1559,4784,same
0.0079077260337369,2923,4784,same
0.0079137599484279,4784,8440,same
0.0080831413836875,552,10277,same
0.0080972336697463,8574,10277,same
0.0081043497709506,5661,7525,same
0.0081102871802004,7525,8162,same
0.0081194725494121,7525,9851,same
0.008180892736379,7825,10277,same
0.0082587880779163,2841,9626,same
0.0083152816315127,4728,8369,same
0.0083325157857635,1440,4728,same
0.0083326910931798,463,4728,same
0.0084235975635426,4728,7133,same
0.0084540716639284,7123,15591,same
0.0086618244518692,5341,7875,same
0.0087435140812268,498,5341,same
0.0087436857770602,2659,5341,same
0.0087608461064152,5341,9254,same
0.0089405359372934,10010,15591,same
0.0091686702011097,446,4551,same
0.0091689982831344,1021,4551,same
0.0092014958215738,4551,8105,same
0.0096730069392622,261,5704,same
0.0096761945937392,261,10292,same
0.0096801836139432,4551,7285,same
0.0097019658664235,261,8628,same
0.0098654836057402,14632,14633,diff
0.0102517958081525,4808,7457,same
0.0103266440809296,4808,8479,same
0.0103423024651904,468,4808,same
0.0103423720335039,1616,4808,same
0.0104013195570128,2148,17367,same
0.0106141860960889,482,8633,same
0.0106252377924229,482,9952,same
0.0106448623807637,482,5705,same
0.010868471285874,7354,8633,same
0.0108791051498707,7354,9952,same
0.0108993036494815,5705,7354,same
0.0119188050428002,5568,9958,same
0.0119375218133837,5567,5568,same
0.0119375218133984,3955,5568,same
0.0119440845481865,9957,9958,same
0.0119628261985896,5567,9957,same
0.0119628261986043,3955,9957,same
0.0121156928739885,1603,2929,same
0.0121975215679461,1603,7131,same
0.0125685479310306,482,4906,same
0.0128930343816107,1346,4688,same
0.0128931208396665,528,4688,same
0.0129231413666924,4906,7354,same
0.0129654946665752,5493,13635,same
0.0129785941619451,9754,13635,same
0.0131593662139343,4688,7515,same
0.0135185216755584,5529,15497,same
0.0135185216755826,303,15497,same
0.0135185929147344,1826,15497,same
0.0135256483458982,8600,15497,same
0.0135290910146132,4884,15497,same
0.0136048087950653,4765,7475,same
0.0137198626103446,466,4765,same
0.0137260982090345,2929,14141,same
0.0137572026021313,6777,15497,same
0.013805246349754,7131,14141,same
0.0143928241622067,4816,7040,same
0.0146178390774396,545,4816,same
0.0146178534525571,1638,4816,same
0.0147616598073615,1855,4898,same
0.0147617964302958,2970,4898,same
0.0148195185648115,13598,13600,diff
0.0148489377477765,529,4710,same
0.01484906292508,1395,4710,same
0.0148614575035555,4710,8340,same
0.0149977597916205,4898,7297,same
0.0153278609186593,7541,9686,same
0.0153386155559832,4710,7341,same
0.0156028020156074,15687,15690,diff
0.0158152740662569,1257,9686,same
0.015815352481125,2885,9686,same
0.0160234906812988,17349,17350,diff
0.0167251925904495,16151,16153,diff
0.0180295246700208,15967,15968,diff
0.0183542948367373,14913,14914,diff
0.0184417418291856,15140,15141,diff
0.0184573742541098,4869,7839,same
